id_left,title_left,description_left,brand_left,category_left
12092252," ""DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS"", ""Null"" Price DG0300FARVV-2Pack"" ""New DG0300FARVV SAS 2 Pack Wholesale","""Description:2 x 300GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 507127-B21
Spare Part# 507284-001
Assembly Part# 518194-002
Model# DG0300FARVV"" ","""HP Enterprise""",Computers_and_Accessories
2042153," ""MIO SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam"""," ""SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam""","""MIO""",Computers_and_Accessories
570909," ""48-32-4006"" "" Shop For Drill Bits. - Dale Electric Supply Co.","""Null"" ","""
														MILWAUKEE ELECTRIC TOOL CORP.													""",Tools_and_Home_Improvement
16637817," ""458418-B21 HP E5410 2.33GHz ML370 G5"", ""Null"" ""New 458418-B21 G5 Wholesale Price 458418-B21""","""Description:Intel Xeon E5410 ML370 G5(2.33GHz/4-core/12MB/80W) CPQFull Processor Option KitPart Number(s)Option Part# 458418-B21"" ","""HP Enterprise""",Computers_and_Accessories
12347653," ""431786-B21 HP 120-GB 5.4K 2.5 SATA 5 Pack "" ""HP 431786-B21 Part# -431786-B21-5Pack""","""Description:5 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 431786-B21
Spare Part# 431908-001
Assembly Part# 443193-002
Model# FJ120C4981"" ","""HP Enterprise""",Computers_and_Accessories
15245435," ""Gigaram CDW 32GB 50p CF CompactFlash C"""," ""CDW 32GB 50p CF CompactFlash C""","""Gigaram""",Computers_and_Accessories
12417345," ""Corsair Flash Voyager Slider X2 128 GB USB 3.0 Drive - Blue ""@en | CMFSL3X2-128GB Novatech""@en","""Null""@en ","""Corsair""@en",Computers_and_Accessories
13036398," ""Null"" ""122633-001 - FAN CHASSIS 120MM 130"""," ""Description:Fan: Fan - Chassis 120MM 130CFM V/Speed 3BLPart Number(s) Manufacturer Part# 122633-001""","""HP Enterprise""",Computers_and_Accessories
12794352," ""Apple iMac 27-inch 3.2GHz Quad-core i5 (Late 2012) MD096LL/A"" ""iMac 27"" | macofalltrades""","""
Apple Part Number: MD096LL/A

Hardware Configuration
27-inch LED-backlit glossy widescreen TFT LCD display with IPS, 2560x1440 resolution3.2GHz quad-core Intel Core i5 processor with Turbo Boost up to 3.6GHz8.0GB (4x2.0GB) PC3-12800 (1600MHz) DDR3 SO-DIMM, supports up to 32.0GB1.0TB Fusion DriveNVIDIA Geforce GTX 680MX graphics with 2.0GB GDDR5 memoryAirPort Extreme wireless card (802.11n)Bluetooth 4.0Built-in FaceTime HD camera2- Thunderbolt ports4- USB 3.0 ports1- Ethernet port1- Secure Digital (SDXC) slotPower Cable Included"" ","""Null""",Computers_and_Accessories
587184," ""SanDisk 128 GB CF Extreme Pro 160MB/s - SDCFXPS-128G-X46"""," resolution you&rsquo;ll be ready for more RAW+JPEG and Full HD video too even in 3D&dagger;. Trust SanDisk&reg; to get out of your professional digital SLR camera.<br /> <br * Up 100 MB/s write speed; read speed lower. Based on SanDisk internal testing; performance may lower depending upon host device.<br 1 megabyte (MB) = million bytes. X 150 KB/sec.<br ** gigabyte (GB) billion Some capacity not available data storage.<br *** 30 years warranty Germany regions recognizing lifetime limited warranty.<br &dagger; (1920x1080x30fps) content other factors.<br Video Performance Guarantee enabled ensure video&dagger; recording at 20 MB/sec minimum sustained speed. =<br bytes."" ""Sandisk SDCFXP-128G-X46 (SDCFXP128GX46) 128GB CF Extreme Pro 100MB/s Compact Flash Card<br Extreme&reg; Pro&trade; CompactFlash&reg; 128 GB card. With lightning-fast (up MB/sec* write) file size able capture frames per second with (VPG) &dagger;&dagger; 3D support vary based device allowing you performance&mdash;get DSLR camera. And up to<br GB** storage bit rate compression","""SanDisk""",Computers_and_Accessories
14305797," ""341-1237 Dell 36-GB U320 SCSI HP 15K w/9D988"", ""Null"" ""New 341-1237 w/9D988 5 Pack Wholesale Price 341-1237-5Pack""","""Description:5 x 36GB Ultra320 3.5-inch SCSI Hot-Plug 15K Dell Hard Drive in Dell 9D9883.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s)Manufacturer Part# 341-1237"" ","""Dell""",Computers_and_Accessories
17019780," ""Transcend TS64GUSDU1 CYT 64GB 8p MSDXC 400x Class 10 UHS-1 U1 Transcend Premium Micro Secure Digital"""," ""TS64GUSDU1 CYT 64GB 8p MSDXC 400x Class 10 UHS-1 U1 Transcend Premium Micro Secure Digital Extended Capacity Card w/ Adapter Retail""","""Transcend""",Computers_and_Accessories
11636707," ""349237-B21 HP 80-GB 1.5G 7.2K 3.5 SATA HDD"" ""DL320 G5p 349237-B21 HDD Part# DL320 G5p-349237-B21""","""Description:80GB Hot-Plug Serial ATA (SATA) 1.5GB/s Hard Drive 7200 RPM 3.5-inch form factor 1.0 inch highIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 349237-B21
Spare Part# 397551-001
Spare Part# 353042-001
Assembly Part# 332649-002
Assembly Part# 391333-002
Assembly Part# 391333-004
Assembly Part# 440300-001
Assembly Part# 407525-001
Assembly Part# 431688-001
Model# 6L080M0
Model# 6Y080M0
Model# FB080C4080
Model# ST3808110AS
Model# WD800AAJS-70TDA0"" ","""HP Enterprise""",Computers_and_Accessories
8809847," ""Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card""@en ""▷ Gigabyte Graph… | OcUK""@en","""GV-RX580GAMING-4GD, Boost: 1355MHz, Memory: 4096MB 7000MHz GDDR5, Stream Processors: 2304, DirectX 12 Support, AMD CrossFire, AMD Eyefinity, VR Ready Premium, 3 Years Warranty""@en ","""Gigabyte""@en",Computers_and_Accessories
13913785," ""DG0146FAMWL HP 146-GB 6G 10K 2.5 DP SAS"", ""Null"" ""New DG0146FAMWL SAS 10 Pack Wholesale Price DG0146FAMWL-10Pack""","""Description:10 x 146GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 507125-B21
Spare Part# 507283-001
Assembly Part# 507119-001
Model# DG0146FAMWL"" ","""HP Enterprise""",Computers_and_Accessories
7461241," ""ST31000524NS EQL 1TB 7.2K 3.5 SATA PS4000E"" ""Null"""," ""Description:5 x Dell EqualLogic 1-TB 7.2K RPM 3G(3Gb/s) 3.5-inch Serial ATA (SATA)Hot-Plug Hard Drive in EqualLogicPS4000 / PS5000 PS6000 series3.5-inch Hot-Plug Tray (as pictured)Genuine serial number and firmwareGenuine Certified DriveCompatible Storage Arrays:Dell PS4000 PS4000EDell PS5000E PS5500EDell PS6000EDell PS6010EPart Number(s) Part# 9JW154-536 2HR85 9CA158-056 Seagate ST31000524NS-EQL""","""EqualLogic""",Computers_and_Accessories
17448760," ""345021-B21 BL20P G2 Xeon 3.2GHz 1GB (2P"", ""Null"" Price 345021-B21"" (2P Wholesale 345021-B21","""Description:
Proliant BL20P G2 XEON3.2G 1M (2P) FC MEZZ BLADEHewlett-Packard Part# 345021-B21
"" ","""HP Enterprise""",Computers_and_Accessories
17390315," ""345020-B21 BL20P G2 Xeon 3.2GHz 1M (2P)"" ""Null"""," ""Description: BL20PG2 Xeon 3.2GHz 1M (2P) BladeHewlett-Packard Part# 345020-B21 ""","""HP Enterprise""",Computers_and_Accessories
17408915," ""Null"" ""461826-B21 HP 2GB PC5300 (2x1GB) Kit"""," ""Description:Genuine HPE 2GB FBD PC2-5300 (2x1GB)Low Power Single Rank Memory KitPart Number(s) Option Part# 461826-B21""","""HP Enterprise""",Computers_and_Accessories
17094787," ""249674-001 HP 256MB200MHz DDR PC1600 EC"" ""Null"""," ""Description:HP 256MB 200MHz DDR PC1600 ECC SDRAMPart Number(s)Part# 249674-001""","""HP Enterprise""",Computers_and_Accessories
15598354," ""HP 340769-001 20/40-GB Int SCSI DLT"", ""Null"" DLT Wholesale HP Price 340769-001""","""Description:Drive : 20/40GB DLT 4000 narrow Single-Ended SCSI-2 Internal Drive (Gray) - 5.25-inch form factor  full-height - Model TH5AA-HJ - For 'DLT4000' - Not for 'DLT4000E'Part Number(s)
Option Part# 340769-001"" ","""HP Enterprise""",Computers_and_Accessories
